group,param,value,bull_ma,bull_mom,risk_ma,risk_mom,rv252,vxn,cb,cagr,dd,calmar,sharpe,tpy,roll_pass_25_50,roll_median_cagr,roll_worst_dd
PAIR_CB_MA,cb_ma,-0.045/275,40,15,275,126,0.16,0.4,-0.045,39.0867,-47.2035,0.828,0.9778,31.0258,30,38.4968,-47.2035
PAIR_CB_MA,cb_ma,-0.045/300,40,15,300,126,0.16,0.4,-0.045,39.1679,-47.2035,0.8298,0.9791,30.9772,30,38.6854,-47.2035
PAIR_CB_MA,cb_ma,-0.045/325,40,15,325,126,0.16,0.4,-0.045,39.1679,-47.2035,0.8298,0.9791,30.9772,30,38.6854,-47.2035
PAIR_CB_MA,cb_ma,-0.0475/275,40,15,275,126,0.16,0.4,-0.0475,39.4565,-47.2035,0.8359,0.9834,30.953,30,39.3585,-47.2035
PAIR_CB_MA,cb_ma,-0.0475/300,40,15,300,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
PAIR_CB_MA,cb_ma,-0.0475/325,40,15,325,126,0.16,0.4,-0.0475,39.5379,-47.2035,0.8376,0.9847,30.9045,30,39.5495,-47.2035
PAIR_CB_MA,cb_ma,-0.05/275,40,15,275,126,0.16,0.4,-0.05,39.4223,-47.2035,0.8352,0.9825,30.8074,30,38.8353,-47.2035
PAIR_CB_MA,cb_ma,-0.05/300,40,15,300,126,0.16,0.4,-0.05,39.5037,-47.2035,0.8369,0.9838,30.7589,30,39.0248,-47.2035
PAIR_CB_MA,cb_ma,-0.05/325,40,15,325,126,0.16,0.4,-0.05,39.5037,-47.2035,0.8369,0.9838,30.7589,30,39.0248,-47.2035
PAIR_CB_MA,cb_ma,-0.055/275,40,15,275,126,0.16,0.4,-0.055,38.7454,-47.2035,0.8208,0.9707,30.6134,30,38.7242,-47.2035
PAIR_CB_MA,cb_ma,-0.055/300,40,15,300,126,0.16,0.4,-0.055,38.8264,-47.2035,0.8225,0.9721,30.5649,30,38.9134,-47.2035
PAIR_CB_MA,cb_ma,-0.055/325,40,15,325,126,0.16,0.4,-0.055,38.8264,-47.2035,0.8225,0.9721,30.5649,30,38.9134,-47.2035
