date,target_alloc,action,equity
2011-03-14,1.0,HOLD,3585018678.593
2011-03-15,0.4,TRADE,3438231930.3863535
2011-03-16,0.4,HOLD,3337383052.684246
2011-03-17,0.4,HOLD,3370530544.718543
2011-03-18,0.4,HOLD,3363334194.336651
2011-03-21,0.4,HOLD,3435760704.781352
2011-03-22,0.4,HOLD,3432166483.3113413
2011-03-23,0.8,TRADE,3453066737.6369467
2011-03-24,1.0,TRADE,3603397244.762758
2011-03-25,1.0,HOLD,3629078866.807024
2011-03-28,0.5,TRADE,3567974317.8051486
2011-03-29,0.5,HOLD,3618901613.2195168
2011-03-30,1.0,TRADE,3645918432.9727745
2011-03-31,1.0,HOLD,3661525218.179317
2011-04-01,1.0,HOLD,3667594523.5374165
2011-04-04,1.0,HOLD,3634646865.8791614
2011-04-05,1.0,HOLD,3593028771.9950485
2011-04-06,1.0,HOLD,3619907124.295204
2011-04-07,1.0,HOLD,3619040080.672619
2011-04-08,1.0,HOLD,3565283376.0723066
2011-04-11,0.5,TRADE,3532335718.414051
2011-04-12,0.4,TRADE,3497660743.1321282
2011-04-13,1.0,TRADE,3530946480.5337567
2011-04-14,0.5,TRADE,3511948969.511076
2011-04-15,0.4,TRADE,3500729898.0940046
2011-04-18,0.4,HOLD,3473725401.2187433
2011-04-19,0.5,TRADE,3498334154.5532203
2011-04-20,1.0,TRADE,3614978989.9637427
2011-04-21,1.0,HOLD,3706550616.7139277
2011-04-25,1.0,HOLD,3734274136.7392135
2011-04-26,1.0,HOLD,3798122243.4641137
2011-04-27,1.0,HOLD,3877092270.2028055
2011-04-28,1.0,HOLD,3871211523.530775
2011-04-29,1.0,HOLD,3852729176.847252
2011-05-02,1.0,HOLD,3831726510.1614294
2011-05-03,1.0,HOLD,3773759150.1085596
2011-05-04,1.0,HOLD,3751916376.7553043
2011-05-05,1.0,HOLD,3695629230.0373006
2011-05-06,1.0,HOLD,3727553283.39975
2011-05-09,1.0,HOLD,3767878403.4365296
2011-05-10,1.0,HOLD,3864490670.1913123
2011-05-11,1.0,HOLD,3781320110.1154556
2011-05-12,1.0,HOLD,3848528643.510087
2011-05-13,1.0,HOLD,3711591256.718526
2011-05-16,0.9,TRADE,3519206829.876393
2011-05-17,0.9,HOLD,3544915057.5857167
2011-05-18,0.9,HOLD,3622793813.0195394
2011-05-19,0.9,HOLD,3650770232.4078484
2011-05-20,0.9,HOLD,3578185883.7163405
