bull_ma,bull_mom,blend_lo,blend_w,riskon_rv,def_frac,lev,A_cagr,A_dd,A_calmar,B_cagr,B_dd,B_calmar
30,10,0.28,0.14,0.18,0.6666666666666666,1.0,33.54,-52.42,0.64,44.27,-58.6,0.755
30,10,0.28,0.14,0.18,0.6666666666666666,1.3,33.6,-52.42,0.641,45.83,-64.26,0.713
30,10,0.32,0.1,0.14,0.3333333333333333,1.0,30.66,-54.69,0.561,42.5,-51.47,0.826
30,10,0.32,0.1,0.14,0.3333333333333333,1.3,30.19,-54.69,0.552,45.28,-51.47,0.88
30,10,0.32,0.1,0.14,0.5,1.0,30.66,-54.7,0.561,42.51,-51.47,0.826
30,10,0.32,0.1,0.14,0.5,1.3,30.19,-54.7,0.552,45.29,-51.47,0.88
30,10,0.32,0.1,0.14,0.6666666666666666,1.0,30.33,-53.68,0.565,42.63,-51.47,0.828
30,10,0.32,0.1,0.14,0.6666666666666666,1.3,29.86,-53.68,0.556,45.41,-51.47,0.882
30,10,0.32,0.1,0.16,0.3333333333333333,1.0,32.61,-54.69,0.596,44.68,-53.66,0.833
30,10,0.32,0.1,0.16,0.3333333333333333,1.3,32.92,-54.69,0.602,47.17,-55.86,0.844
30,10,0.32,0.1,0.16,0.5,1.0,32.6,-54.7,0.596,44.69,-53.66,0.833
30,10,0.32,0.1,0.16,0.5,1.3,32.92,-54.7,0.602,47.18,-55.86,0.845
30,10,0.32,0.1,0.16,0.6666666666666666,1.0,32.27,-53.68,0.601,44.82,-53.66,0.835
30,10,0.32,0.1,0.16,0.6666666666666666,1.3,32.58,-53.68,0.607,47.31,-55.86,0.847
30,10,0.32,0.1,0.18,0.3333333333333333,1.0,32.39,-54.69,0.592,43.56,-58.6,0.743
30,10,0.32,0.1,0.18,0.3333333333333333,1.3,32.45,-54.69,0.593,45.11,-64.26,0.702
30,10,0.32,0.1,0.18,0.5,1.0,32.39,-54.7,0.592,43.57,-58.6,0.744
30,10,0.32,0.1,0.18,0.5,1.3,32.45,-54.7,0.593,45.12,-64.26,0.702
30,10,0.32,0.1,0.18,0.6666666666666666,1.0,32.06,-53.68,0.597,43.69,-58.6,0.746
30,10,0.32,0.1,0.18,0.6666666666666666,1.3,32.11,-53.68,0.598,45.24,-64.26,0.704
30,10,0.32,0.14,0.14,0.3333333333333333,1.0,28.9,-58.82,0.491,42.3,-51.47,0.822
30,10,0.32,0.14,0.14,0.3333333333333333,1.3,28.43,-58.82,0.483,45.07,-51.47,0.876
30,10,0.32,0.14,0.14,0.5,1.0,29.24,-55.59,0.526,42.41,-51.47,0.824
30,10,0.32,0.14,0.14,0.5,1.3,28.77,-55.59,0.518,45.18,-51.47,0.878
30,10,0.32,0.14,0.14,0.6666666666666666,1.0,28.76,-59.72,0.482,42.53,-51.47,0.826
30,10,0.32,0.14,0.14,0.6666666666666666,1.3,28.29,-59.72,0.474,45.3,-51.47,0.88
30,10,0.32,0.14,0.16,0.3333333333333333,1.0,30.82,-58.82,0.524,44.48,-53.66,0.829
