Date,bond_tr
1961-07-01,1.1959163012229939
1961-08-01,1.1882709953707629
1961-09-01,1.197974061709316
1961-10-01,1.2077148224080128
1961-11-01,1.2097157018768991
1961-12-01,1.2020147733791597
1962-01-01,1.2041607940722536
1962-02-01,1.2120993079627267
1962-03-01,1.2268443716004522
1962-04-01,1.2397455936990895
1962-05-01,1.2407061576618879
1962-06-01,1.240701910410297
1962-07-01,1.2347520679202486
1962-08-01,1.241845732807233
1962-09-01,1.2459645211543768
1962-10-01,1.2550957397123768
1962-11-01,1.2602159414426437
1962-12-01,1.270419181253016
1963-01-01,1.2775834242652402
1963-02-01,1.2723609286091477
1963-03-01,1.2754931090233261
1963-04-01,1.2755656549769379
1963-05-01,1.2838818518066537
1963-06-01,1.2818890298918795
1963-07-01,1.2830672126194467
1963-08-01,1.2894201643639838
1963-09-01,1.2854500480997941
1963-10-01,1.2867426616671245
1963-11-01,1.290124384674968
1963-12-01,1.2935262913790624
1964-01-01,1.293859442903179
1964-02-01,1.3004111402697711
1964-03-01,1.2976699235486686
1964-04-01,1.3012053267155443
1964-05-01,1.3088830502984983
1964-06-01,1.3165782947741416
1964-07-01,1.319061775434266
1964-08-01,1.3236674994668238
1964-09-01,1.3272389726232205
1964-10-01,1.3329369180410253
1964-11-01,1.341821840764382
1964-12-01,1.343261318212536
1965-01-01,1.3468739002514762
1965-02-01,1.3494392412536136
1965-03-01,1.3541735239250114
1965-04-01,1.359997817967336
1965-05-01,1.3636792208740431
1965-06-01,1.3684634621406093
1965-07-01,1.3743492171408862
1965-08-01,1.3737095829557744
1965-09-01,1.3742284633164732
1965-10-01,1.3726331338810396
1965-11-01,1.366808807722168
1965-12-01,1.3536912449187652
1966-01-01,1.3599530321203512
1966-02-01,1.3419567969316617
1966-03-01,1.3432398430468675
1966-04-01,1.361032133967527
1966-05-01,1.3632737589323243
1966-06-01,1.365558102679937
1966-07-01,1.3490072010307201
1966-08-01,1.3341549467339286
1966-09-01,1.3439705799366413
1966-10-01,1.3669844510135316
1966-11-01,1.3571069462241163
1966-12-01,1.3956929984709616
1967-01-01,1.429148808404115
1967-02-01,1.4290486883393911
1967-03-01,1.444533983167941
1967-04-01,1.4443728164022913
1967-05-01,1.4207207198798995
1967-06-01,1.407951956333021
1967-07-01,1.3988680804356675
1967-08-01,1.3922238520677068
1967-09-01,1.3962627975833724
1967-10-01,1.3836130908121207
1967-11-01,1.3622216011597568
1967-12-01,1.3737313262885027
1968-01-01,1.3973838154880238
1968-02-01,1.4007219052383761
1968-03-01,1.388587162727215
1968-04-01,1.405392148553719
1968-05-01,1.3882180027362858
1968-06-01,1.410147754028279
1968-07-01,1.4395983544023947
1968-08-01,1.4547302856391884
1968-09-01,1.4569712337345737
1968-10-01,1.4506185439721295
1968-11-01,1.4445183589889043
1968-12-01,1.4164195888788076
1969-01-01,1.4225157143932685
1969-02-01,1.4142968797593156
1969-03-01,1.4104650360238693
1969-04-01,1.430911616358705
1969-05-01,1.4229014627530743
1969-06-01,1.405119874670234
1969-07-01,1.3980254653508184
1969-08-01,1.408774789245185
1969-09-01,1.3704545602932217
1969-10-01,1.3842322656755222
1969-11-01,1.3886396782897674
1969-12-01,1.3486165903473109
1970-01-01,1.3446632643812377
1970-02-01,1.4022158341257307
1970-03-01,1.4268475190135828
1970-04-01,1.4040145677408842
1970-05-01,1.3634995869973454
1970-06-01,1.378751149217612
1970-07-01,1.4222616108740436
1970-08-01,1.4244227110510546
1970-09-01,1.4466961562841214
1970-10-01,1.461450300393949
1970-11-01,1.5187415908119946
1970-12-01,1.574700315651442
1971-01-01,1.5998093091961383
1971-02-01,1.6229658607539013
1971-03-01,1.6790173256513619
1971-04-01,1.6709847037101853
1971-05-01,1.6109318082698105
1971-06-01,1.6046826517920927
1971-07-01,1.5896989321828436
1971-08-01,1.615210007412104
1971-09-01,1.6739036095645607
1971-10-01,1.7076747821906868
1971-11-01,1.7309661394825981
1971-12-01,1.7241989150791768
1972-01-01,1.730219945164338
1972-02-01,1.7225128765776478
1972-03-01,1.7324792175940094
1972-04-01,1.726281715465549
1972-05-01,1.7425947394956254
1972-06-01,1.75399688650587
1972-07-01,1.762927653986329
1972-08-01,1.7592431605048018
1972-09-01,1.7256088920062425
1972-10-01,1.7435111938163759
1972-11-01,1.7775025919849703
1972-12-01,1.7766804890697823
1973-01-01,1.7734985511368015
1973-02-01,1.7605238777573182
1973-03-01,1.761649674330871
1973-04-01,1.7764093274045103
1973-05-01,1.7639622497129435
1973-06-01,1.7679302210390777
1973-07-01,1.7500371585690075
1973-08-01,1.7282034747921475
1973-09-01,1.7749177500044597
1973-10-01,1.8217995156830742
1973-11-01,1.8396923364138458
1973-12-01,1.8487295911644053
1974-01-01,1.8269634100187737
1974-02-01,1.841370478703254
1974-03-01,1.8203803908424732
1974-04-01,1.7942136151655068
1974-05-01,1.7970355192370868
1974-06-01,1.8131816288755016
1974-07-01,1.791853775500518
1974-08-01,1.7763354268469118
1974-09-01,1.788236874206786
1974-10-01,1.8165435926326257
1974-11-01,1.8547428052679151
1974-12-01,1.8973906563455787
1975-01-01,1.9002129920339226
1975-02-01,1.926087550974645
1975-03-01,1.8938525559330999
1975-04-01,1.8433541280814072
1975-05-01,1.876242164432931
1975-06-01,1.9132902253367974
1975-07-01,1.9006474869486427
1975-08-01,1.871314787636335
1975-09-01,1.88081697662923
1975-10-01,1.9289264207693795
1975-11-01,1.953276320092657
1975-12-01,1.9727450845160934
1976-01-01,2.019409530280373
1976-02-01,2.0257525506158505
1976-03-01,2.046927044010645
1976-04-01,2.0831529995674254
1976-05-01,2.0489849236131574
1976-06-01,2.0678555212157153
1976-07-01,2.085481255374345
1976-08-01,2.107333324773305
1976-09-01,2.146044381208671
1976-10-01,2.185372622773498
1976-11-01,2.2165083434259105
1976-12-01,2.292971754277747
1977-01-01,2.25222175723465
1977-02-01,2.238210069393344
1977-03-01,2.2414438236217515
1977-04-01,2.268914745658354
1977-05-01,2.2690857687467596
1977-06-01,2.310599017051487
1977-07-01,2.316794615901325
1977-08-01,2.319993446669599
1977-09-01,2.3436685991503743
1977-10-01,2.3295268474779953
1977-11-01,2.3347740331298312
1977-12-01,2.3323905544584993
1978-01-01,2.3055580900508135
1978-02-01,2.3102860379518035
1978-03-01,2.3242384252371275
1978-04-01,2.3231388263538753
1978-05-01,2.3087812643666457
1978-06-01,2.3085345266742645
1978-07-01,2.2982627258685344
1978-08-01,2.348286608785014
1978-09-01,2.363240302154702
1978-10-01,2.346542487169699
1978-11-01,2.3381743867295763
1978-12-01,2.325967610124971
1979-01-01,2.3304091001212655
1979-02-01,2.3480813691305182
1979-03-01,2.362978825494222
1979-04-01,2.3721640444605767
1979-05-01,2.380065185077002
1979-06-01,2.4481759959099874
1979-07-01,2.460232357021087
1979-08-01,2.46630229432374
1979-09-01,2.438877610534149
1979-10-01,2.312912134037937
1979-11-01,2.2853974677363476
1979-12-01,2.3398850146470944
1980-01-01,2.304246290924476
1980-02-01,2.1129155934355546
1980-03-01,2.096611688843548
1980-04-01,2.2592681310769764
1980-05-01,2.4423977960618575
1980-06-01,2.520604835747587
1980-07-01,2.4701092388911405
1980-08-01,2.3680668116884696
1980-09-01,2.335235595327926
1980-10-01,2.326627700704502
1980-11-01,2.23100539047381
1980-12-01,2.235848915441517
1981-01-01,2.2912239226799627
1981-02-01,2.2403158866688484
1981-03-01,2.27298507569789
1981-04-01,2.232340189042301
1981-05-01,2.210720849870729
1981-06-01,2.3053455414676587
1981-07-01,2.236612082609934
1981-08-01,2.191033574605719
1981-09-01,2.1787322478132727
1981-10-01,2.223872178512019
1981-11-01,2.4363539567375954
1981-12-01,2.422660202541694
1982-01-01,2.3447341696184307
1982-02-01,2.3913460706613194
1982-03-01,2.48633416837763
1982-04-01,2.5138129395450486
1982-05-01,2.574156642960672
1982-06-01,2.515267934522286
1982-07-01,2.588258928478321
1982-08-01,2.7326327219546425
1982-09-01,2.8638808958710165
1982-10-01,3.111527830799103
1982-11-01,3.203523319772044
1982-12-01,3.2335403133165737
1983-01-01,3.2769089076704683
1983-02-01,3.255991919754546
1983-03-01,3.3243106068512582
1983-04-01,3.374613462207834
1983-05-01,3.4077908177642118
1983-06-01,3.343901148382375
1983-07-01,3.2730604582138136
1983-08-01,3.2184845688965282
1983-09-01,3.2853311427572702
1983-10-01,3.3370920944629567
1983-11-01,3.341528580147151
1983-12-01,3.348411190755518
1984-01-01,3.410631113641417
1984-02-01,3.411955837582359
1984-03-01,3.3563675292631308
1984-04-01,3.3353407586148007
1984-05-01,3.2336279956145777
1984-06-01,3.2451233256066754
1984-07-01,3.3145471543580713
1984-08-01,3.459450346412302
1984-09-01,3.5323611620209054
1984-10-01,3.6364222722746375
1984-11-01,3.7885125190565816
1984-12-01,3.8396715922817215
1985-01-01,3.901971229446608
1985-02-01,3.9107438438317073
1985-03-01,3.8725291020951866
1985-04-01,4.001468986786357
1985-05-01,4.168453001910392
1985-06-01,4.370178702850706
1985-07-01,4.368570004823778
1985-08-01,4.400993360612982
1985-09-01,4.428592487683922
1985-10-01,4.500439393365871
1985-11-01,4.660317641299806
1985-12-01,4.843614141808396
1986-01-01,4.901831352403776
1986-02-01,5.087505036249134
1986-03-01,5.419946862314506
1986-04-01,5.626917654669015
1986-05-01,5.505104033633526
1986-06-01,5.507636513016467
1986-07-01,5.725143961678243
1986-08-01,5.810313000297619
1986-09-01,5.734274422802269
1986-10-01,5.777574229071174
1986-11-01,5.883235314527027
1986-12-01,5.974629244306803
1987-01-01,6.022267752889241
1987-02-01,5.98778788195419
1987-03-01,6.023964100407663
1987-04-01,5.745839637860135
1987-05-01,5.562959133580498
1987-06-01,5.676964770594779
1987-07-01,5.698516556508958
1987-08-01,5.625731427040273
1987-09-01,5.433016939383723
1987-10-01,5.4425252096910945
1987-11-01,5.703773592688916
1987-12-01,5.699424549042142
1988-01-01,5.855689715747473
1988-02-01,6.068336763336349
1988-03-01,6.0470644871026344
1988-04-01,5.953436025725968
1988-05-01,5.857734948530808
1988-06-01,5.963818206158717
1988-07-01,5.955983269688469
1988-08-01,5.927025711399553
1988-09-01,6.07477162460374
1988-10-01,6.188352405693721
1988-11-01,6.171511606244286
1988-12-01,6.159864955497463
1989-01-01,6.214255838354176
1989-02-01,6.23052090004667
1989-03-01,6.205053205943459
1989-04-01,6.321778513772106
1989-05-01,6.494963866469819
1989-06-01,6.778964063087634
1989-07-01,6.939331864525378
1989-08-01,6.944943509176189
1989-09-01,6.955773446974914
1989-10-01,7.084294561614691
1989-11-01,7.196352848135979
1989-12-01,7.257745222189208
1990-01-01,7.128320236109043
1990-02-01,7.057233742274178
1990-03-01,7.052969295036946
1990-04-01,7.01390673746403
1990-05-01,7.078513010142693
1990-06-01,7.25497874922806
1990-07-01,7.310877680296121
1990-08-01,7.231766194885414
